Package-net,p1_name,p2_name,LPD (ns)
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[7],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[7],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[7],1.34014
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[6],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[6],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[6],1.33399
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[5],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[5],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[5],1.3551
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[4],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[4],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[4],1.3558
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[3],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[3],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[3],1.3473
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[2],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[2],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[2],1.33786
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[1],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[1],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[1],1.3569
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[0],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[0],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[0],1.3548
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_chip_select,u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_chip_select,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_chip_select,2.027128
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic1_,u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic1_,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic1_,0
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic0_,u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic0_,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic0_,0
u_ahb_ram_genblk3_u_fpga_sram_n3,u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_n3,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_n3,2.001959
u_ahb_ram_genblk3_SRAMWDATA[23],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[23],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[23],0.97171
u_ahb_ram_genblk3_SRAMWDATA[22],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[22],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[22],0.98244
u_ahb_ram_genblk3_SRAMWDATA[21],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[21],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[21],0.9706
u_ahb_ram_genblk3_SRAMWDATA[20],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[20],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[20],0.98109
u_ahb_ram_genblk3_SRAMWDATA[19],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[19],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[19],0.99218
u_ahb_ram_genblk3_SRAMWDATA[18],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[18],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[18],0.98566
u_ahb_ram_genblk3_SRAMWDATA[17],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[17],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[17],0.98548
u_ahb_ram_genblk3_SRAMWDATA[16],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[16],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[16],1.00223
u_ahb_ram_genblk3_SRAMADDR[9],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[9],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[9],2.169242
u_ahb_ram_genblk3_SRAMADDR[8],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[8],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[8],2.169242
u_ahb_ram_genblk3_SRAMADDR[7],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[7],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[7],2.169242
u_ahb_ram_genblk3_SRAMADDR[6],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[6],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[6],2.169242
u_ahb_ram_genblk3_SRAMADDR[5],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[5],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[5],2.169242
u_ahb_ram_genblk3_SRAMADDR[4],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[4],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[4],2.169242
u_ahb_ram_genblk3_SRAMADDR[3],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[3],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[3],2.169242
u_ahb_ram_genblk3_SRAMADDR[2],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[2],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[2],2.169242
u_ahb_ram_genblk3_SRAMADDR[1],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[1],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[1],2.169242
u_ahb_ram_genblk3_SRAMADDR[11],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[11],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[11],2.169242
u_ahb_ram_genblk3_SRAMADDR[10],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[10],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[10],2.169242
u_ahb_ram_genblk3_SRAMADDR[0],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[0],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[0],2.169242
gated_hclk,u_mem_context2/gated_hclk,u_mem_context1/gated_hclk,-1
